D1,D2,D3,Eta_arrivo_Italia,D7,D8,D9,D9b,D10,D11,D12,D20a,D23,D25,D26,D27a,D27b,D29,D32,D35a,D35b,D35c,D35d,D35e,D35f,D35g,D36
1,1972,1,25,201,2,5,1,5,11,1,2,3,4,3500,0,0,40,2000,1,1,1,2,2,2,2,2
1,1963,1,33,330,2,5,1,3,8,3,2,1,4,1400,0,0,40,1300,1,1,1,1,1,2,2,1
2,1978,1,22,235,2,5,2,5,3,2,1,1,3,2400,0,0,40,950,1,2,1,2,2,2,2,2
1,1971,1,24,436,2,2,2,3,1,1,4,1,6,1100,0,0,38,1100,1,2,2,2,2,2,2,2
1,1990,2,,201,1,5,,5,2,1,0,98,1,1000,150,150,30,1000,1,2,1,1,2,2,2,2
2,1995,1,16,201,1,3,3,3,2,4,0,98,4,1200,0,150,22,300,1,2,1,2,2,2,2,1
1,1984,1,26,404,2,5,3,3,1,4,2,1,5,1000,100,100,30,900,1,2,1,1,1,2,2,1
2,1980,1,23,436,2,3,3,3,1,3,3,1,6,900,0,0,25,600,1,2,2,2,2,2,2,1
1,1991,1,12,460,1,3,,4,1,3,0,98,6,1500,0,0,20,400,1,1,1,2,2,2,2,2
1,1976,1,24,436,2,3,3,3,1,3,4,1,7,1600,0,0,32,1600,1,2,1,1,2,2,2,2
2,1981,1,25,245,2,5,3,4,2,3,1,2,3,2000,200,200,18,500,1,2,1,1,1,2,2,1
1,1997,2,,450,1,5,,5,1,1,0,98,5,1250,0,100,15,200,1,2,2,2,2,2,2,1
1,1996,2,,443,1,5,,5,2,1,0,98,4,1600,0,200,18,450,1,2,2,2,2,2,2,2
2,1984,1,16,443,2,4,,5,2,3,0,2,2,2000,0,0,25,800,1,2,1,2,2,2,2,1
1,1989,1,11,401,2,6,,5,1,1,0,3,2,1200,0,0,38,1000,1,2,2,2,2,2,2,1
2,1987,1,24,436,1,3,2,3,1,4,0,98,6,1600,0,200,20,450,1,2,1,2,1,2,2,2
1,1981,1,19,344,1,3,1,4,1,3,0,98,3,1000,150,150,40,800,1,1,2,2,2,2,2,1
1,1980,1,30,235,2,3,3,4,3,2,2,1,5,1600,100,100,35,1600,1,1,2,2,2,2,2,1
1,1968,1,22,419,2,4,1,5,1,1,2,2,4,1900,100,100,30,1200,1,1,1,2,2,2,2,1
2,1973,1,33,243,4,5,3,4,3,4,1,98,1,1000,150,150,40,850,1,2,1,2,2,2,2,1
1,1963,1,38,423,2,6,2,5,6,3,3,1,1,500,60,60,20,300,1,2,1,2,2,2,2,1
1,1991,1,19,411,1,6,1,5,5,4,0,98,1,150,0,0,4,150,2,2,2,2,2,2,2,2
2,1990,1,13,305,2,3,1,5,1,3,2,1,4,1000,100,100,18,600,1,2,2,2,2,2,2,1
2,1970,1,22,348,3,6,2,5,1,1,2,98,3,1000,0,0,20,1000,1,2,2,2,2,2,2,1
2,1992,1,8,436,1,5,,5,1,1,0,98,5,2000,50,50,45,850,2,2,2,2,2,2,2,1
1,1982,1,19,201,2,3,2,3,1,3,2,1,4,1400,0,100,40,1400,1,1,1,2,2,2,2,1
2,1981,1,28,426,4,3,3,3,1,5,1,98,2,600,100,100,20,600,1,1,2,2,2,2,2,1
1,1976,1,27,404,2,3,3,4,2,1,3,1,5,2300,150,200,40,1300,1,2,2,2,2,2,2,1
1,1978,1,32,450,2,3,3,3,2,5,2,1,1,600,200,200,30,600,2,1,2,2,2,2,2,2
1,1975,1,29,435,2,1,,4,1,3,2,3,5,1500,200,300,40,1500,1,1,2,1,2,2,2,1
1,1979,1,33,254,2,2,3,4,3,8,2,1,1,500,150,150,10,500,2,2,2,2,2,2,1,2
2,1980,1,26,442,3,1,,3,1,3,3,98,4,1000,100,100,6,400,1,2,2,2,2,2,2,1
1,1978,1,32,201,2,3,3,2,3,8,1,1,1,500,200,200,10,500,2,2,2,2,2,2,2,2
1,1980,1,25,450,1,3,2,3,1,5,0,2,1,900,300,300,36,900,1,2,2,1,2,2,2,1
2,1984,1,20,436,4,2,3,3,1,3,2,3,4,750,0,0,24,750,1,1,2,2,2,2,2,2
1,1970,1,30,423,2,3,3,5,2,3,3,1,1,1500,350,350,40,1500,1,2,2,2,2,2,2,2
